""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"52.5%"	0.0370193060408407	0.0523387788490766	6.51906309852614e-07	0.0862437000944702	0.410177342922652	-277396.85164816	383205
"55%"	0.0370201519213096	0.0523418289351221	6.92282251325206e-07	0.086270663741264	0.410192273078228	-277396.752088309	383205
"57.5%"	0.0370209719870188	0.0523457803654196	7.51137601711428e-07	0.0862934161018989	0.410204908189588	-277396.654218776	383205
"60%"	0.0370218138263804	0.0523493732974188	8.26152003326472e-07	0.0863155878664118	0.410216896452964	-277396.55932106	383205
"62.5%"	0.0370226785546401	0.0523532953609021	8.79320363892245e-07	0.0863399113396102	0.410231824775855	-277396.475275789	383205
"65%"	0.0370236831114898	0.0523567342089918	9.26399272283366e-07	0.0863701389845568	0.410245961834871	-277396.382507828	383205
"67.5%"	0.037024669724942	0.0523604946994053	9.91294019371775e-07	0.0863956079146157	0.410259330470224	-277396.297238865	383205
"70%"	0.0370254474270873	0.0523642654735616	1.06503872232417e-06	0.0864251293269337	0.410275158689325	-277396.209950909	383205
"72.5%"	0.0370263693225444	0.0523680830921624	1.14893510533139e-06	0.0864509492018449	0.410292339813207	-277396.121467224	383205
"75%"	0.0370274342460985	0.0523724192532756	1.22681040192427e-06	0.0864788175142318	0.410308947555147	-277396.034423234	383205
"77.5%"	0.0370285415041929	0.0523774121575128	1.32268062906638e-06	0.086510837212313	0.410324525344639	-277395.936938073	383205
"80%"	0.0370296282033781	0.0523821918539693	1.43197049693048e-06	0.0865493588911179	0.410342605352952	-277395.841938224	383205
"82.5%"	0.0370308802228275	0.0523865957901169	1.55917378678144e-06	0.0865864759628238	0.410361995612358	-277395.74312045	383205
"85%"	0.0370325640357734	0.0523917971204624	1.67811559876474e-06	0.0866267522592112	0.410383949555264	-277395.641460498	383205
"87.5%"	0.0370340988739206	0.0523975458963767	1.86023268525765e-06	0.0866740942874075	0.410407565079148	-277395.523798103	383205
"90%"	0.037035883618734	0.0524043745717835	2.04867342125377e-06	0.086728753762103	0.410436013612336	-277395.415118948	383205
"92.5%"	0.0370375368268721	0.0524135841141723	2.30610849546322e-06	0.0867900042354576	0.410468261807325	-277395.280746734	383205
"95%"	0.03704011180752	0.0524240967150536	2.65236044666653e-06	0.0868690657822054	0.410511263221799	-277395.132519214	383205
"97.5%"	0.0370445984263993	0.0524429581420383	3.25340059496294e-06	0.0870142182742813	0.410573219569665	-277394.957074472	383205
"100%"	0.0370750219972821	0.0525294492157492	9.96923000158076e-06	0.0875970860160899	0.410938280579473	-277394.423836745	383205
"Mean"	0.0359812333922754	0.039494932616569	3.60582714241862e-07	0.0844064837786447	0.407594464830136	59651.6682762952	507264
"Std."	7.60515594038732e-06	2.94852964579351e-05	3.39617337888e-07	0.000273726707235189	0.000115892619819236	1.68467404119436	507264
"Acceptance ratio"	0.1644	0.2015	0.03282	0.11982	0.1913	0.53916	507264
"0%"	0.0359500029428221	0.0393791428951317	1.08516164130616e-11	0.0834211182800005	0.407109024833488	59638.1557721449	507264
"2.5%"	0.035966229576826	0.0394354610953439	1.15579119418121e-08	0.0838903497682653	0.407363719014016	59647.5706920959	507264
"5%"	0.0359687246403087	0.0394462581991092	1.91921695112536e-08	0.0839708688821892	0.407403510561683	59648.5072014062	507264
"7.5%"	0.0359703578850587	0.0394527685406225	3.18984236013525e-08	0.0840229406938819	0.40742708730534	59649.0330328512	507264
"10%"	0.0359716191401204	0.0394569866711993	4.57117883074055e-08	0.0840585630763225	0.407443435843782	59649.419679217	507264
"12.5%"	0.0359726285169228	0.039460926137842	5.95132536526011e-08	0.0840869214160226	0.40745863829268	59649.7276301524	507264
